,Positive (1); Neutral (2) Negative (3),comment,,
"awesome move. as sad as i will be to see ariza go(this season he turned into one of my favorite players, and i was planning on buying his jersey if the lakers re-signed him). this move has me excited as hell about next season. two all nba defenders on the same squad and a a great defensive power forward in gasol and another good defensive player in bynum. the lakers are going to be something else on the defensive end.",1,,,
"[quote=&acute;chutebox&acute;][quote=&acute;-halftime-&acute;]jets are the best team. followed by the steelers and ravens. lol @ people saying the pats. no defense, no run game, one dimensional as hell team. they&acute;re not going anywhere. but they just beat the ravens and slaughtered a good miami team. i wouldn&acute;t count them out. their offense will get it done but i&acute;m not gonna trust their defense to do anything. the jets look like the superior team in just about all aspects except for head coach.",2,,,
"&acute;&acute; i&acute;m humble. but when someone talks trash i&acute;m quick to talk back. that&acute;s just the way it is. who got you to say that the lakers were going to beat the suns like they stole something? i also will talk **** when pressed. i was confident, so what? so far i&acute;m right. the lakers are beating that ass. when my team beats ass i&acute;m gonna talk trash. being all friendly with eachother is no fun.5 years, 25 days ago",2,,,
"ok so a couple weeks ago i downloaded limewire... everythign was going fine until today when i noticed a sub menu on the sidepanel of my itunes...it is named administrator&acute;s limewire , under the shared category, so i looked inside and see the titles of the content and i see pornographic names...since i have no freaking clue where the hell it came from i quickly uninstalled limewire and reinstalled itunes...unfortunately it is still there, and i cannot delete it....any help?",2,,,
"after reading through a good 40-or-so pages of these religious dribble about morality and hell, i think i&acute;d be a lot happier in hell than i would be in heaven. i&acute;d rather spend eternity with the highly-intelligent minds of aristotle, charles darwin, albert einstein, galileo or gandhi than spend eternity under the dictatorship of a god who justifies eternal damnation to babies, scientists, homosexuals, etc while hanging out with such awesome people like adolf hitler hernán cortés, and mary i.",3,,,
"[quote=&acute;pianist&acute;][quote=&acute;-karayan-&acute;]i know you said no deaths but... the death of classic music and opera, baroque etc. it&acute;s not dead... it&acute;s just not recognized to the degree it should be, thanks to the dominance of amateur music making in the western world. well, alright, but it took a hell of a beating. and of course there are still people like david lanz who keep making new things. not that it&acute;s possible to ever run out of stuff to listen to. :p",2,,,
"&acute;&acute; actually it is....soros th little socialist trooper he is...decided to leave out the fact that you can not own a firearm that was not registered prior to 1976.....(the law was jsut overturned about 2 weeks ago and they are appealing that)......dc does not at this second have the highest gc law....but they are hoping to put it back in place.... meh ok, anyway, it&acute;s still not a valid arguement as europe shows that strict gun laws don&acute;t increase violence.",3,,,
"&acute;&acute; you have to love the people they have never heard of independent wrestling. :roll: wrestling won&acute;t die out for awhile, with promotions like ring of honor and pwg fronting the independent scene. in terms of global base; wwe will not die out. it&acute;s a multi million dollar corporation and they just need to get wrestlers who are not technically known at first, and build them up. not get the biggest people you can find and well...not build them up.",2,,,
"&acute;&acute; i kinda laughed at how little the fire does. first off, it doesn&acute;t really look all that great (although very few games can make fire look good), and second, it had no effect when guys were going through flaming tables, getting hit with flaming 2x4s, etc...nothing different happened, from what i saw. yeah. no selling of it, or the guy being on fire, or even any mention from the announcers. ... but its on fire. its teh kewlness. but...but...:o",3,,,
"i&acute;m a bit worried with the gpu temps actually. the hypertx2 cooler from cooler master would do a good enough job, hell it can even take some ocing albeit not too extreme. it can reach 34 degrees celsius here at summer&acute;s height. the gtx280 can reach around 85 degrees celsius at it&acute;s worst (and this is from a guy who&acute;s in a 22 degree room). i can just imagine what a 4870x2 would do to the temps, or quadfire :?.",2,,,
"its not a &acute;strategy&acute; if someone uses a cheat to go into a wall, and get an automatic kill. i dont play on wifi, i cant most the time. once pokemon d/p comes out, im gonna try to buy the wifi adapter. but, playing other games online, cheating and glitching is a big problem, which many developers basically go &acute;la la la, i can not hear you, la la la...&acute; to when people complain about it, which is a shame.",3,,,
